Name	Deadline	Type	Url
DoS/ISRO Internship & Student Project Trainee Schemes	➖	IN	https://www.isro.gov.in/InternshipAndProjects.html
Visiting Student Research Program at KAUST	➖	IN	https://admissions.kaust.edu.sa/study/internships
Max Planck Institute for Informatics - PhD Applications	➖	PH	https://www.mpi-inf.mpg.de/departments/computer-vision-and-machine-learning/application/phd-applications?utm_source=chatgpt.com
Exoplanet Characterisation Predictions via Gravitational Microlensing: Competition Funded PhD Project	➖	PH	https://www.findaphd.com/phds/project/exoplanet-characterisation-predictions-via-gravitational-microlensing/?p171628
HRDG- Nehru Science Postdoctoral research Fellowship	➖	PD	https://csirhrdg.res.in/Home/Index/1/Default/3419/55?s=08
University of Chicago Graduate School Programme	➖	PH	https://grad.uchicago.edu/admissions/apply/guidelines-and-deadlines/
University of Texas at Austin Graduate School Programme	➖	PH	https://students.gradschool.utexas.edu/portal/app
University of Utah Graduate School Programme	➖	PH	https://admissions.utah.edu/apply/graduate-students/
Louisiana State University PhD Programme	➖	PH	https://www.lsu.edu/graduateschool/admissions/requirements-deadlines.php
PhD Position - EPFL	➖	PH	https://www.linkedin.com/posts/florian-schueder-318b02148_open-position-phd-student-activity-7356598175018680320-gW2R?utm_source=share&utm_medium=member_desktop&rcm=ACoAADc_xDABBm9oWnlmA0AAJye9s7W9iDd-frw
Postdoc position (m/f/d) | Development and Application of an Ultra-Bright Coherent Soft X-Ray Beamline	➖	PD	https://www.mpg.de/25649454/postdoc-x-ray-beamline
Doctoral (PhD) and postdoctoral position (m/f/d) in Computational Biology | Biomathematics | Biosystems Engineering	➖	PD	https://www.mpg.de/25622528/doctoral-phd-and-postdoctoral-position-computational-biology-biomathematics-biosystems-engineering
Doctoral (PhD) and postdoctoral position (m/f/d) in Computational Biology | Biomathematics | Biosystems Engineering	➖	PH	https://www.mpg.de/25622528/doctoral-phd-and-postdoctoral-position-computational-biology-biomathematics-biosystems-engineering
Doctoral (PhD) and postdoctoral position (m/f/d) in Computational Biology | Biomathematics | Biosystems Engineering	➖	PH	https://www.mpg.de/25622528/doctoral-phd-and-postdoctoral-position-computational-biology-biomathematics-biosystems-engineering
Doctoral (PhD) position (m/f/d) in Glia Biology | Neurobiology at the Dioscuri Centre for Chromatin Biology and Epigenomics at the Nencki Institute for Experimental biology (Poland)	➖	PH	https://www.mpg.de/job-f9fbf66ad122669a970d1fe58b3cab06
Postdoc/Research Scientist in the Reproductive Ageing Research Group (m/f/d)	➖	PD	https://www.mpg.de/25716051/postdoc-research-scientist-in-the-reproductive-ageing-research-group
Long Term Visiting Students Program	➖	IN	https://www.icts.res.in/academic/long-term-visiting-student-program
Undergraduate Student Internships Max Planck Institute for Gravitatinal Waves	➖	IN	https://www.aei.mpg.de/student-internships
Undergraduate Student Internships Max Planck Institute for Gravitatinal Waves	➖	IN	https://www.aei.mpg.de/student-internships
Undergraduate Student Internships Max Planck Institute for Gravitatinal Waves	➖	IN	https://www.aei.mpg.de/student-internships
Undergraduate Student Internships Max Planck Institute for Gravitatinal Waves	➖	IN	https://www.aei.mpg.de/student-internships
University of Tokyo UTRIP	➖	IN	https://www.s.u-tokyo.ac.jp/en/utrip/program/schedule.html
PHD in geospatial analytics	➖	PH	https://cnr.ncsu.edu/geospatial/academics/phd/
Reasearch fellow in geophysics	➖	PD	https://findajob.agu.org/job/8025964/research-fellow-in-geophysics-earthquake-seismology-/#application-form
Geospatial AI scientist	➖	PD	https://findajob.agu.org/job/8025996/geospatial-ai-scientist/
2026 Summer Student Programme IISER Pune 	➖	IN	https://www.iiserpune.ac.in/announcements/48/summer-student-programme-2026
2027-2028 Fulbright-Nehru Doctoral Research Fellowships	➖	PD	https://www.usief.org.in/fulbright-fellowships/fellowships-for-indian-citizen/fulbright-nehru-doctoral-research-fellowships/
PhD candidate working on advanced ML and LHCb physics, between Heidelberg and Paris	➖	PH	https://www.linkedin.com/posts/tilman-plehn-b344a025b_we-are-looking-for-a-phd-candidate-working-share-7447202486890733586-xsa5/?utm_source=social_share_send&utm_medium=android_app&rcm=ACoAAGB86XEBp8HDDUD53cnJu6d_iiR0G5sJsjA&utm_campaign=whatsapp
Assistant Professor, Department of Earth System Science, Stanford Doerr School of Sustainability	August 4 2026	PD	https://findajob.agu.org/job/8026722/assistant-professor-department-of-earth-system-science-stanford-doerr-school-of-sustainability/
Research Position in High Energy Astrophysics	August 10, 2026	PD	https://www.mpg.de/26864925/call-for-a-research-position-in-high-energy-astrophysics-m-f-d-topic-gamma-ray-sky-reconstruction-for-the-milky-way-atlas
Research Engineer or Postdoctoral Researcher	9 August 2026	PD	https://www.mpg.de/26861528/research-engineer-or-postdoctoral-researcher-m-f-d
PhD or Postdoc position (m/f/d) | Behavioral Neurobiology	➖		
Tenure-track faculty position in Geology/Geomorphology 	Jul 31, 2026	PD	https://findajob.agu.org/job/8026752/tenure-track-faculty-position-in-geology-geomorphology/
Assistant/Associate Professor (F3/F4) Outer Solar System Science & Space Grant Associate Director	Aug 25, 2026	PD	https://findajob.agu.org/job/8026749/assistant-associate-professor-f3-f4-outer-solar-system-science-and-space-grant-associate-director/?LinkSource=PremiumListing
Assistant Professor, Department of Earth System Science, Stanford Doerr School of Sustainability	Aug 4, 2026	PD	https://findajob.agu.org/job/8026722/assistant-professor-department-of-earth-system-science-stanford-doerr-school-of-sustainability/
Assistant Professor, Analytical Lab Manager- The university of Hawaii	Aug 12, 2026	PD	https://findajob.agu.org/job/8027267/assistant-professor-analytical-lab-manager/
Postdoctoral Research Scholar- The university of south florida 	Aug 7, 2026	PD	https://findajob.agu.org/job/8027268/postdoctoral-research-scholar/?LinkSource=PremiumListing
